state,chi
Andhra Pradesh,nan
Jammu & Kashmir,0.999999329614
Himachal Pradesh,0.999999800733
Punjab,nan
Chandigarh,nan
Uttarakhand,nan
Haryana,nan
Delhi,0.999999329614
Rajasthan,0.993081864548
Uttar Pradesh,0.999999999999
Sikkim,nan
Arunanchal Pradesh,nan
Nagaland,nan
Manipur,nan
Mizoram,nan
Tripura,0.999999999918
Meghalaya,nan
Assam,nan
Bihar,0.999999749005
West Bengal,nan
Jharkhand,0.999970345023
Odisha,0.999597801447
Chhattisgarh,0.998460230373
Madhya Pradesh,nan
Gujarat,nan
Daman & Diu,nan
Dadara & Nagar Havelli,1.0
Maharashtra,nan
Goa,nan
Karnataka,nan
Lakshadweep,1.0
Kerala,0.999970345023
Tamil Nadu,nan
Puducherry,nan
