state,chi
Andhra Pradesh,3.69795273725e-06
Jammu & Kashmir,0.000358953115414
Himachal Pradesh,0.345052493598
Punjab,nan
Chandigarh,0.0293135722245
Uttarakhand,0.0216272029106
Haryana,0.140331277164
Delhi,0.00247611449528
Rajasthan,2.74791300825e-12
Uttar Pradesh,0.0556672698472
Sikkim,0.299911431552
Arunanchal Pradesh,0.284186915718
Nagaland,0.00810053057993
Manipur,0.666961766324
Mizoram,0.765755107945
Tripura,0.288696995584
Meghalaya,0.932844786454
Assam,0.211750803954
Bihar,0.0443085142498
West Bengal,0.00216006968264
Jharkhand,0.0190774437973
Odisha,0.122633303668
Chhattisgarh,0.0486984566608
Madhya Pradesh,0.723646856722
Gujarat,0.103744952319
Daman & Diu,0.570391047648
Dadara & Nagar Havelli,6.76144695788e-11
Maharashtra,0.0198474235226
Goa,0.12252583888
Karnataka,0.444925899838
Lakshadweep,1.0
Kerala,0.0409393623977
Tamil Nadu,0.000829212028064
Puducherry,0.201699198703
