state,chi
Andhra Pradesh,8.23402906269e-06
Jammu & Kashmir,0.0
Himachal Pradesh,0.00881491527634
Punjab,0.946964751848
Chandigarh,0.00053563155685
Uttarakhand,0.088681072833
Haryana,4.40352199149e-11
Delhi,0.254999333236
Rajasthan,0.00183204432892
Uttar Pradesh,0.0
Sikkim,0.0374449389029
Arunanchal Pradesh,8.46408597432e-07
Nagaland,0.346197248544
Manipur,0.0122279262251
Mizoram,0.0199243474168
Tripura,0.48529406768
Meghalaya,9.82547783646e-06
Assam,0.913712319988
Bihar,3.01492164567e-12
West Bengal,0.0818963361492
Jharkhand,2.83585932515e-10
Odisha,0.0
Chhattisgarh,0.0
Madhya Pradesh,0.0341698009897
Gujarat,0.240407473144
Daman & Diu,0.0617647169114
Dadara & Nagar Havelli,0.0145509183651
Maharashtra,0.0
Goa,0.0
Karnataka,3.17006864303e-06
Lakshadweep,1.0
Kerala,0.0
Tamil Nadu,1.10804487807e-09
Puducherry,0.579364064742
