state,chi
Andhra Pradesh,0.0219181799875
Jammu & Kashmir,0.0
Himachal Pradesh,0.228471651209
Punjab,nan
Chandigarh,0.403970112148
Uttarakhand,0.104854771163
Haryana,0.836231570337
Delhi,3.05243263621e-06
Rajasthan,5.55111512313e-16
Uttar Pradesh,0.0
Sikkim,0.906785726196
Arunanchal Pradesh,0.824447456317
Nagaland,0.400820708736
Manipur,0.0303078336122
Mizoram,0.664870319704
Tripura,0.89028638836
Meghalaya,0.676430171829
Assam,0.0038047115511
Bihar,5.44119093782e-07
West Bengal,4.01280739637e-06
Jharkhand,0.0
Odisha,1.68968821157e-08
Chhattisgarh,4.4635138996e-07
Madhya Pradesh,0.20754821915
Gujarat,0.73384663307
Daman & Diu,0.517871912427
Dadara & Nagar Havelli,0.000318839771173
Maharashtra,4.66293670343e-14
Goa,0.00170198535723
Karnataka,0.956604987971
Lakshadweep,1.0
Kerala,0.956784765355
Tamil Nadu,0.968159569726
Puducherry,0.100949163172
