state,chi
Andhra Pradesh,1.69864122768e-14
Jammu & Kashmir,0.00494753817604
Himachal Pradesh,1.52533541353e-12
Punjab,0.751137556557
Chandigarh,0.000118208764383
Uttarakhand,0.0
Haryana,0.000150781680955
Delhi,0.0
Rajasthan,0.0
Uttar Pradesh,0.0
Sikkim,0.000628269897428
Arunanchal Pradesh,0.183090983745
Nagaland,0.145740749224
Manipur,0.0048046270868
Mizoram,0.0129483379133
Tripura,1.57582471324e-05
Meghalaya,0.00326705532127
Assam,1.96952454345e-11
Bihar,0.0
West Bengal,0.0
Jharkhand,0.0
Odisha,0.0
Chhattisgarh,0.0
Madhya Pradesh,0.0
Gujarat,0.154568387341
Daman & Diu,0.102202860485
Dadara & Nagar Havelli,0.0
Maharashtra,0.0
Goa,0.0
Karnataka,0.935758008266
Lakshadweep,1.0
Kerala,0.307607027116
Tamil Nadu,0.0
Puducherry,0.0830317586452
